appID,name,release_date,price,supported_languages,developers,publishers,categories,genres,tags,metacriticScore
922050,DOOMBLADE,"May 31, 2023",4.79,"['English', 'German', 'Russian', 'Simplified Chinese', 'French', 'Spanish - Spain', 'Portuguese - Brazil', 'Dutch']",Muro Studios,Iceberg Interactive,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Action, Adventure, Indie","Exploration, Metroidvania, Side Scroller, 2D Platformer, Hack and Slash, Souls-like, Platformer, Action-Adventure, Female Protagonist, 2D, Dark Humor, Multiple Endings, Colorful, Nonlinear, Story Rich, Action, Dark Fantasy, Atmospheric, Adventure, Singleplayer",83
15300,Tom Clancy's Ghost Recon®,"Jul 15, 2008",2.99,['English'],Red Storm Entertainment,Ubisoft,"Single-player, Multi-player, Co-op, Family Sharing",Action,"Tactical, FPS, Action, Simulation, Shooter, Singleplayer, Classic, Military, Strategy, Realistic, Multiplayer, Stealth, Co-op, First-Person, Difficult, War, Moddable, Team-Based, Controller",80
598550,HUNTDOWN,"May 12, 2021",3.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Simplified Chinese']",Easy Trigger Games,Coffee Stain Publishing,"Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing","Action, Indie","Side Scroller, Pixel Graphics, Action, Shooter, Local Co-Op, Shoot 'Em Up, 2D, Cyberpunk, Retro, Arcade, Precision Platformer, Platformer, Violent, Co-op, 1980s, Sci-fi, 2D Platformer, Dystopian , Online Co-Op, Futuristic",85
368390,The Darkside Detective,"Jul 27, 2017",6.74,"['English', 'French', 'German', 'Spanish - Spain', 'Simplified Chinese']",Spooky Doorway,Akupara Games,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Camera Comfort, Custom Volume Controls, Mouse Only Option, Playable without Timed Input, Save Anytime, Steam Cloud, Family Sharing","Adventure, Casual, Indie","Point & Click, Detective, Pixel Graphics, Adventure, Story Rich, Mystery, Comedy, Funny, Singleplayer, Indie, Supernatural, Retro, Puzzle, 2D, Casual, Dark Humor, Lovecraftian, Cartoony, 1980s, 1990's",77
849176,Shadow of the Tomb Raider: Definitive Edition,"Sep 14, 2018",4.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Arabic']","Eidos-Montréal, Crystal Dynamics, Nixxes, Feral Interactive (Mac), Feral interactive (Linux)","Crystal Dynamics, Feral Interactive (Mac), Feral interactive (Linux)","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","Action, Adventure","Adventure, Lara Croft, Action, Female Protagonist, Third Person, Singleplayer, Story Rich, Open World, Puzzle, Action-Adventure, Stealth, Exploration, Survival, Violent, Atmospheric, Shooter, Gore, Great Soundtrack, Dark, Heist",77
22100,Mount & Blade,"Nov 3, 2008",2.49,"['English', 'German', 'Polish', 'Simplified Chinese', 'Traditional Chinese', 'Czech']",TaleWorlds Entertainment,TaleWorlds Entertainment,"Single-player, Steam Trading Cards, Includes level editor, Family Sharing","Indie, RPG","RPG, Medieval, Open World, Strategy, Sandbox, Action, Singleplayer, Adventure, Third Person, Multiplayer, Indie, Moddable, Historical, Action RPG, Character Customization, First-Person, Simulation, Replay Value, Fantasy, War",72
207610,The Walking Dead,"Apr 24, 2012",1.49,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']",Telltale Games,Skybound Games,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",Adventure,"Zombies, Story Rich, Adventure, Point & Click, Episodic, Singleplayer, Choices Matter, Drama, Horror, Emotional, Mature, Atmospheric, Choose Your Own Adventure, Post-apocalyptic, Comic Book, Survival, Quick-Time Events, Gore, Action, Third Person",82
265930,Goat Simulator,"Apr 1, 2014",1.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish']",Coffee Stain Studios,Coffee Stain Publishing,"Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor, Remote Play on TV, Remote Play Together, Family Sharing","Casual, Indie, Simulation","Simulation, Funny, Comedy, Open World, Sandbox, Physics, Destruction, Casual, Indie, Action, Memes, Singleplayer, Third Person, Co-op, Local Multiplayer, 3D, Dark Humor, Exploration, Cute, Arcade",62
435120,Rusty Lake Hotel,"Jan 29, 2016",1.11,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Danish', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish', 'Vietnamese']",Rusty Lake,Rusty Lake,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","Adventure, Indie","Puzzle, Point & Click, Indie, Adventure, Horror, Psychological Horror, Surreal, Mystery, Singleplayer, Atmospheric, Hand-drawn, 2D, Story Rich, Dark, Hidden Object, Short, Dark Humor, Casual, Gore, Remake",65
279940,The Book of Unwritten Tales 2,"Feb 19, 2015",7.49,"['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Korean', 'Polish']",KING Art,THQ Nordic,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",Adventure,"Fantasy, Adventure, Point & Click, Singleplayer, Atmospheric, Magic, Sequel, Parody , Medieval, Mouse only, Satire, 2.5D, 3D, Family Friendly, Linear, Dragons, Dark Fantasy, Dark Humor, Dark Comedy, Dark",80
204880,Sins of a Solar Empire®: Rebellion,"Jun 12, 2012",5.99,"['English', 'Japanese', 'Simplified Chinese', 'French', 'Italian', 'German', 'Polish', 'Russian']","Ironclad Games Corporation, Stardock Entertainment",Stardock Entertainment,"Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Surround Sound, Steam Cloud, Includes level editor, Family Sharing","Action, Indie, Simulation, Strategy","Management, Diplomacy, Online Co-Op, Multiplayer, Singleplayer, Simulation, Space, Strategy, 4X, RTS, Grand Strategy, Sandbox, Co-op, Sci-fi, Exploration, Replay Value, Space Sim, Base-Building, Military, 3D",82
1893810,Solium Infernum,"Feb 22, 2024",19.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",League of Geeks,League of Geeks,"Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Turn Notifications, Family Sharing","Indie, Strategy","Strategy, Turn-Based Strategy, Politics, Grand Strategy, Diplomacy, Political, Conspiracy, Asynchronous Multiplayer, Choices Matter, Demons, Psychological Horror, Dark Fantasy, Gothic, Board Game, War, Mythology, Dark, Horror, Immersive Sim, Wargame",85
246070,Hack 'n' Slash,"Sep 9, 2014",2.0,['English'],Double Fine Productions,Double Fine Productions,"Single-player, Full controller support, Steam Workshop, Family Sharing","Adventure, Casual, Indie","Adventure, Indie, Hacking, Hack and Slash, Puzzle, Programming, Casual, Singleplayer, Female Protagonist, Fantasy, 2D, Action, RPG, Action RPG",73
235380,Blitzkrieg 3,"Jun 2, 2017",9.99,"['English', 'Russian', 'German', 'French', 'Polish', 'Czech', 'Italian', 'Spanish - Spain', 'Ukrainian', 'Korean', 'Portuguese - Brazil']",Nival,Nival,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",Strategy,"Strategy, World War II, RTS, Military, War, Tactical, Real Time Tactics, Multiplayer, Historical, Tanks, Singleplayer, PvP, Massively Multiplayer, Competitive, Simulation, Realistic, Early Access, Difficult, Real-Time, Real-Time with Pause",68
2114740,Blasphemous 2,"Aug 24, 2023",9.89,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Korean']",The Game Kitchen,Team17,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Adventure, Indie","Combat, Fantasy, Metroidvania, Souls-like, Adventure, 2D Platformer, Pixel Graphics, Difficult, Side Scroller, Hack and Slash, Unforgiving, 2D, Platformer, Action RPG, Horror, Lore-Rich, Action-Adventure, Story Rich, Nonlinear, Multiple Endings",83
397340,SimplePlanes,"Dec 17, 2015",4.54,['English'],"Jundroo, LLC","Jundroo, LLC","Single-player, Steam Achievements, Steam Workshop, Partial Controller Support, Steam Cloud, Family Sharing","Indie, Simulation","Flight, Sandbox, Automation, Physics, Building, Exploration, Racing, Automobile Sim, Combat Racing, Controller, Military, 3D, Open World, Strategy, Funny, Collectathon, Action, Vehicular Combat, Moddable, Artificial Intelligence",69
360740,Downwell,"Oct 15, 2015",0.74,"['English', 'Japanese', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Turkish']",Moppin,Devolver Digital,"Single-player, Steam Achievements, Partial Controller Support, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Family Sharing","Action, Adventure, Indie","Precision Platformer, Action Roguelike, Pixel Graphics, Indie, Platformer, Arcade, 2D Platformer, Action, Difficult, 2D, Fast-Paced, Retro, Adventure, Singleplayer, Shoot 'Em Up, Rogue-like, Procedural Generation, Rogue-lite, Replay Value, Great Soundtrack",81
916440,Anno 1800,"Apr 16, 2019",14.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",Ubisoft Mainz,Ubisoft,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Captions available","Simulation, Strategy","City Builder, Strategy, Simulation, Economy, Multiplayer, Resource Management, Sandbox, RTS, Co-op, Singleplayer, Exploration, Management, Historical, Building, Political, Politics, Choose Your Own Adventure, Story Rich, Choices Matter, Multiple Endings",81
587110,Ys: Memories of Celceta,"Jul 25, 2018",14.99,"['English', 'Japanese']",Nihon Falcom,"XSEED Games, Marvelous USA, Inc.","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing","Action, RPG","Action, RPG, Action RPG, JRPG, Anime, Great Soundtrack, Singleplayer, Adventure, Fantasy, Hack and Slash",74
362960,Tyranny,"Nov 10, 2016",7.49,"['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Russian']",Obsidian Entertainment,Paradox Interactive,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Family Sharing","Adventure, RPG","RPG, Choices Matter, Story Rich, Isometric, CRPG, Dark Fantasy, Adventure, Villain Protagonist, Singleplayer, Fantasy, Real-Time with Pause, Character Customization, Atmospheric, Party-Based RPG, Open World, Great Soundtrack, Turn-Based, Strategy, Female Protagonist, Action",80
15280,IL-2 Sturmovik: 1946,"Jun 13, 2008",1.99,"['English', 'Russian']",1C: Maddox Games,Fulqrum Publishing,"Single-player, Multi-player, Steam Cloud, Includes level editor, Family Sharing",Simulation,"Simulation, Flight, World War II, Military, Historical, Realistic, TrackIR, Multiplayer, Action, Classic, Masterpiece, Singleplayer, Moddable, War",86
