appID,name,release_date,price,supported_languages,developers,publishers,categories,genres,tags,metacriticScore
50640,Darksiders™,"Sep 23, 2010",0.0,"['English', 'French', 'German', 'Italian', 'Spanish - Spain', 'Czech', 'Japanese', 'Polish', 'Russian']",Vigil Games,THQ Nordic,"Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","Action, Adventure","Action, Adventure, Hack and Slash, Third Person, Singleplayer, Post-apocalyptic, Fantasy, Controller, Action RPG, Puzzle, Action-Adventure, RPG, Open World, Metroidvania, Beat 'em up, Gore, Spectacle fighter, 3D Platformer, Character Action Game, Platformer",83
73060,Defenders of Ardania,"Mar 14, 2012",0.0,"['English', 'French', 'German', 'Italian', 'Spanish - Spain']",Most Wanted Entertainment,Paradox Interactive,"Single-player, Multi-player, Family Sharing",Strategy,"Tower Defense, Strategy, Fantasy",58
1121560,Atelier Ryza: Ever Darkness & the Secret Hideout,"Oct 28, 2019",0.0,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese']","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Remote Play on Tablet, Family Sharing",RPG,"JRPG, Exploration, Crafting, Collectathon, Turn-Based, Female Protagonist, RPG, Cute, Anime, Turn-Based Combat, Story Rich, Casual, Action, Simulation, Fantasy, Emotional, Adventure, Singleplayer, Sexual Content, Great Soundtrack",75
241540,State of Decay,"Nov 5, 2013",0.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian']",Undead Labs,Xbox Game Studios,"Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Remote Play on TV, Family Sharing","Action, RPG, Simulation","Zombies, Survival, Open World, Action, Post-apocalyptic, RPG, Third Person, Base-Building, Singleplayer, Sandbox, Multiplayer, Simulation, Exploration, Adventure, Horror, Third-Person Shooter, Survival Horror, Co-op, Atmospheric, Indie",79
373720,Ryzom,"May 6, 2016",0.0,"['English', 'French', 'German', 'Spanish - Spain', 'Russian']",Winch Gate Property Limited,Winch Gate Property Limited,"Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer","Action, Adventure, Free To Play, Indie, Massively Multiplayer, RPG","MMORPG, Massively Multiplayer, Free to Play, Indie, Open World, Sandbox, Retro, Choices Matter, RPG, Fantasy, Sci-fi, Action RPG, CRPG, Multiplayer, 3D, PvE, PvP, First-Person, Third Person, Realistic",64
259470,Particulars,"Nov 19, 2014",0.0,['English'],SeeThrough Studios,SeeThrough Studios,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",Indie,"Indie, Puzzle, Physics",74
208480,Assassin’s Creed® III,"Nov 20, 2012",0.0,"['English', 'Czech', 'Danish', 'Dutch', 'Finnish', 'French', 'German', 'Hungarian', 'Italian', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Russian', 'Spanish - Spain', 'Swedish', 'Traditional Chinese', 'Korean', 'Simplified Chinese']",Ubisoft Montreal,Ubisoft,"Single-player, Multi-player, Steam Achievements, Partial Controller Support",Adventure,"Adventure, Open World, Action, Assassin, Parkour, Stealth, Third Person, Historical, Multiplayer, America, Singleplayer, Story Rich, Hunting, Atmospheric, Action-Adventure, Sandbox, Alternate History, Conspiracy, Controller, 3D",80
464920,Surviving Mars,"Mar 15, 2018",0.0,"['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Turkish']","Haemimont Games, Abstraction",Paradox Interactive,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on TV, Family Sharing","Simulation, Strategy","Colony Sim, City Builder, Strategy, Survival, Space, Base-Building, Mars, Simulation, Sci-fi, Resource Management, Singleplayer, Building, Management, Sandbox, Space Sim, Futuristic, Open World, RTS, Great Soundtrack, Moddable",76
230410,Warframe,"Mar 25, 2013",0.0,"['English', 'German', 'French', 'Italian', 'Korean', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Thai']",Digital Extremes,Digital Extremes,"Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, In-App Purchases, Camera Comfort, Color Alternatives, Custom Volume Controls, Playable without Timed Input, Stereo Sound, Surround Sound, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, HDR available","Action, RPG, Free To Play","Free to Play, Action RPG, Looter Shooter, Third-Person Shooter, Action, RPG, Third Person, Character Customization, Massively Multiplayer, Online Co-Op, Co-op, PvE, Sci-fi, Singleplayer, Space, Shooter, Lore-Rich, Hack and Slash, Parkour, Ninja",69
3820,BloodRayne 2 (Legacy),"Sep 14, 2006",0.0,['English'],Terminal Reality,Ziggurat,"Single-player, Steam Trading Cards, Family Sharing",Action,"Action, Vampire, Female Protagonist, Gore, Hack and Slash, Third Person, Singleplayer, Horror, Classic, Nudity",67
716770,Exorder,"Mar 19, 2018",0.0,"['English', 'Polish', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Traditional Chinese']",Solid9 Studio,No Gravity Games,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Steam Achievements, Full controller support, Remote Play Together, Family Sharing","Indie, Strategy","Turn-Based Tactics, Family Friendly, Fantasy, Turn-Based Strategy, Casual, Turn-Based Combat, Tactical RPG, Puzzle, PvP, Competitive, Difficult, Turn-Based, Strategy RPG, Action-Adventure, Female Protagonist, Strategy, Cute, Cartoony, Tactical, Medieval",60
99900,Spiral Knights,"Jun 14, 2011",0.0,"['English', 'French', 'German', 'Spanish - Spain']",Grey Havens,Grey Havens,"Single-player, Multi-player, MMO, Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Partial Controller Support, Includes level editor","Action, Adventure, Casual, Indie, Massively Multiplayer, RPG, Free To Play","Free to Play, Massively Multiplayer, RPG, Adventure, Action, Multiplayer, Online Co-Op, Dungeon Crawler, Hack and Slash, Co-op, MMORPG, Cute, Great Soundtrack, Action RPG, Sci-fi, Open World, Casual, Singleplayer, Indie, Anime",64
544610,Battlestar Galactica Deadlock,"Aug 31, 2017",0.0,"['English', 'French', 'German', 'Spanish - Spain', 'Russian']",Black Lab Games,Slitherine Ltd.,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",Strategy,"Strategy, Space, Sci-fi, Turn-Based, Turn-Based Strategy, Turn-Based Tactics, Singleplayer, War, Simulation, Turn-Based Combat, Multiplayer, Tactical, Replay Value, Atmospheric, 4X, Great Soundtrack, Co-op, Controller, Action, Adventure",77
45720,Lost Planet: Extreme Condition Colonies Edition,"Feb 11, 2010",0.0,"['English', 'French', 'German', 'Italian', 'Spanish - Spain']","CAPCOM CO., LTD.",Capcom,"Single-player, Multi-player, Cross-Platform Multiplayer, Partial Controller Support","Action, Adventure","Action, Adventure, Third-Person Shooter, Mechs, Singleplayer",70
517630,Just Cause 4 Reloaded,"Dec 4, 2018",0.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Portuguese - Brazil', 'Russian', 'Korean', 'Simplified Chinese', 'Traditional Chinese', 'Polish', 'Japanese']",Avalanche Studios,Square Enix,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","Action, Adventure","Open World, Action, Destruction, Singleplayer, Adventure, Sandbox, Third-Person Shooter, Shooter, Physics, Violent, Funny, Story Rich, Gore, Atmospheric, Co-op, Driving, Third Person, FPS, Heist, Comedy",68
21660,Street Fighter® IV,"Jul 7, 2009",0.0,['English'],Capcom,Capcom,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Partial Controller Support, Remote Play Together",Action,"Fighting, Action, Arcade, Local Multiplayer, Multiplayer, 2D Fighter, 2.5D, Beat 'em up, Competitive, 2D, Anime",91
536990,Redie,"Dec 1, 2016",0.0,"['English', 'German', 'Russian']",Rückert Broductions,Rückert Broductions,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards","Action, Indie","Action, Gore, Indie, Top-Down Shooter, Free to Play, Top-Down, Violent",79
429680,Spellweaver,"Feb 1, 2016",0.0,"['English', 'French', 'German', 'Spanish - Spain', 'Czech', 'Dutch', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",Dream Reactor,Dream Reactor,"Single-player, Multi-player, MMO, Steam Achievements, Steam Trading Cards","Free To Play, Indie, Massively Multiplayer, Strategy","Card Game, Free to Play, Strategy, Indie, Massively Multiplayer, Trading Card Game, Multiplayer",63
381990,Dragon Saga,"Dec 22, 2015",0.0,"['English', 'French', 'German', 'Spanish - Spain', 'Portuguese - Portugal']",Gravity Interactive,Gravity Interactive,"Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Partial Controller Support","Action, Adventure, Casual, Massively Multiplayer, Racing, RPG, Free To Play","Free to Play, Massively Multiplayer, MMORPG, RPG, Anime, Action, Multiplayer, Dragons, Adventure, Cute, Casual, PvP, Side Scroller, Racing, Hack and Slash",65
368230,Kingdom: Classic,"Oct 21, 2015",0.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Danish', 'Finnish', 'Norwegian', 'Portuguese - Brazil', 'Swedish']","Noio, Licorice",Raw Fury,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV","Indie, Simulation, Strategy","Free to Play, Strategy, Singleplayer, Simulation, Base-Building, Building, 2D, Management, Resource Management, RPG, Pixel Graphics, Fantasy, Survival, Casual, Adventure, City Builder, Indie, Colony Sim, Tower Defense, Atmospheric",74
24810,Command & Conquer™ 3: Kane’s Wrath,"Nov 13, 2009",0.0,"['Dutch', 'English', 'French', 'German', 'Italian', 'Polish', 'Russian', 'Spanish - Spain', 'Swedish', 'Hungarian', 'Czech', 'Korean', 'Simplified Chinese', 'Thai', 'Traditional Chinese']",EA Los Angeles,Electronic Arts,"Single-player, Multi-player, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing","Action, Strategy","Family Friendly, Level Editor, Strategy, Action, Multiplayer, Singleplayer, Co-op, Grand Strategy, 3D, RTS, Base-Building, Sci-fi, FMV, Story Rich, Atmospheric, Post-apocalyptic, War, Aliens, Building, Difficult",77
431650,Phoning Home,"Feb 7, 2017",0.0,"['English', 'German', 'French', 'Spanish - Spain', 'Russian', 'Hungarian', 'Simplified Chinese', 'Polish']",ION LANDS,ION LANDS,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","Action, Adventure, Indie","Adventure, Action, Indie, Survival, Open World Survival Craft, Open World, Exploration, Crafting, Robots, Singleplayer, Sci-fi, Atmospheric, Nature, Third Person, Story Rich, Mystery, Puzzle, Great Soundtrack, Futuristic, Silent Protagonist",61
45750,Lost Planet® 2,"Oct 15, 2010",0.0,"['English', 'French', 'German', 'Italian', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Russian']","CAPCOM CO., LTD.",Capcom,"Single-player, Multi-player, Co-op, Partial Controller Support","Action, Adventure","Action, Co-op, Adventure, Mechs, Third-Person Shooter, Sci-fi, Multiplayer, Third Person, Online Co-Op, Cult Classic, Shooter, Character Customization, Singleplayer, Aliens, Co-op Campaign, Atmospheric",63
